asset,trade_id,entry_time,exit_time,session,is_oos,entry_price,exit_price,entry_basis_bps,exit_basis_bps,delta_basis_bps,hold_hrs,exit_reason,gross_pnl_bps,funding_bps,net_maker_bps,net_mixed_bps,net_taker_bps
NVDA,1,2026-08-29 06:00:00-04:00,2026-08-29 08:00:00-04:00,WEEKEND,False,218.93,218.81,17.387325554792746,0.9141185611778524,-16.473206993614895,2,NORMALIZED,5.482706766849187,0.0,0.4827067668491871,-5.017293233150813,-10.517293233150813
NVDA,2,2026-08-29 19:00:00-04:00,2026-08-29 23:00:00-04:00,WEEKEND,False,218.96,219.04,14.177909901669437,3.6536353671896276,-10.52427453447981,4,NORMALIZED,-3.6529680771499824,0.0,-8.652968077149982,-14.152968077149982,-19.652968077149982
NVDA,3,2026-08-31 05:00:00-04:00,2026-08-31 06:00:00-04:00,PRE,False,219.01,219.24,14.174668495656256,5.9330929670026675,-8.241575528653588,1,NORMALIZED,-10.496293034402415,0.0,-15.496293034402415,-20.996293034402413,-26.496293034402413
NVDA,4,2026-09-01 18:00:00-04:00,2026-09-02 02:00:00-04:00,AH,False,217.79,217.65,19.32189354556689,12.420645873585897,-6.901247671980993,8,TIMEOUT_8H,6.430277642108531,8.959999999999999,10.39027764210853,4.890277642108529,-0.6097223578914708
NVDA,5,2026-09-02 05:00:00-04:00,2026-09-02 10:00:00-04:00,PRE,False,216.98,224.14,13.383174119709818,5.803312352126934,-7.579861767582884,5,NORMALIZED,-324.6567322957728,0.0,-329.6567322957728,-335.1567322957728,-340.6567322957728
NVDA,6,2026-09-03 15:00:00-04:00,2026-09-03 17:00:00-04:00,RTH,False,228.92,228.99,22.328269340221134,5.02457673402552,-17.303692606195614,2,NORMALIZED,-3.0573693758726153,0.0,-8.057369375872614,-13.557369375872614,-19.057369375872614
NVDA,7,2026-09-04 23:00:00-04:00,2026-09-05 07:00:00-04:00,WEEKEND,False,230.25,230.75,14.35281837160806,23.02145773607858,8.66863936447052,8,TIMEOUT_8H,-21.691982475453266,14.750000000000002,-11.941982475453264,-17.441982475453266,-22.941982475453266
NVDA,8,2026-09-05 08:00:00-04:00,2026-09-05 16:00:00-04:00,WEEKEND,False,230.77,230.89,20.843284554258467,3.4660543304009397,-17.377230223857527,8,NORMALIZED,-5.198631144243166,0.0,-10.198631144243166,-15.698631144243166,-21.198631144243166
NVDA,9,2026-09-05 18:00:00-04:00,2026-09-06 02:00:00-04:00,WEEKEND,False,231.19,231.25,20.80534003727579,9.955847978529555,-10.849492058746236,8,TIMEOUT_8H,-2.594931248883747,0.0,-7.594931248883746,-13.094931248883746,-18.594931248883746
NVDA,10,2026-09-06 13:00:00-04:00,2026-09-06 18:00:00-04:00,WEEKEND,False,231.36,231.34,19.05421791096597,5.189862468644778,-13.864355442321193,5,NORMALIZED,0.8644910314437187,0.0,-4.135508968556281,-9.635508968556282,-15.135508968556282
NVDA,11,2026-09-06 21:00:00-04:00,2026-09-07 05:00:00-04:00,WEEKEND,True,231.47,232.14,21.21395791843489,-4.305890458147724,-25.519848376582615,8,NORMALIZED,-28.90362444479133,0.0,-33.90362444479133,-39.40362444479133,-44.90362444479133
NVDA,12,2026-09-07 09:00:00-04:00,2026-09-07 11:00:00-04:00,PRE,True,232.37,231.8,18.10735072213908,-3.4500603760558946,-21.557411098194976,2,NORMALIZED,24.559979598700824,0.0,19.559979598700824,14.059979598700824,8.559979598700824
NVDA,13,2026-09-07 15:00:00-04:00,2026-09-07 18:00:00-04:00,RTH,True,232.38,231.45,18.10657009829227,-6.908164587022365,-25.014734685314636,3,NORMALIZED,40.10095277436297,0.0,35.10095277436297,29.600952774362973,24.100952774362973
NVDA,14,2026-09-11 20:00:00-04:00,2026-09-12 04:00:00-04:00,WEEKEND,True,218.86,219.35,21.980034801722606,15.52440527829795,-6.455629523424657,8,TIMEOUT_8H,-22.363716219259718,13.84,-13.523716219259718,-19.02371621925972,-24.52371621925972
NVDA,15,2026-09-12 05:00:00-04:00,2026-09-12 13:00:00-04:00,WEEKEND,True,219.4,219.32,41.64950340976688,19.186843307445752,-22.462660102321127,8,TIMEOUT_8H,3.646973052822514,0.0,-1.353026947177486,-6.8530269471774865,-12.353026947177487
