asset,trade_id,entry_time,exit_time,session,is_oos,entry_price,exit_price,entry_basis_bps,exit_basis_bps,delta_basis_bps,hold_hrs,exit_reason,gross_pnl_bps,funding_bps,net_maker_bps,net_mixed_bps,net_taker_bps
QQQ,1,2026-08-28 23:00:00-04:00,2026-08-29 01:00:00-04:00,WEEKEND,False,716.76,717.49,23.91441157961033,7.81108336936743,-16.1033282102429,2,NORMALIZED,-10.179537222064623,1.56,-13.619537222064622,-19.119537222064622,-24.619537222064622
QQQ,2,2026-08-29 15:00:00-04:00,2026-08-29 23:00:00-04:00,WEEKEND,False,718.2,718.26,26.665177511902748,27.502827067249683,0.8376495553469354,8,TIMEOUT_8H,-0.8353869935094929,0.0,-5.835386993509493,-11.335386993509493,-16.83538699350949
QQQ,3,2026-08-30 00:00:00-04:00,2026-08-30 08:00:00-04:00,WEEKEND,False,718.14,719.79,25.827527956554228,15.026923237466114,-10.800604719088113,8,TIMEOUT_8H,-22.949666871054788,0.0,-27.949666871054788,-33.44966687105479,-38.94966687105479
QQQ,4,2026-08-30 12:00:00-04:00,2026-08-30 18:00:00-04:00,WEEKEND,False,720.96,716.46,24.332253444751878,-6.695120930622063,-31.02737437537394,6,NORMALIZED,62.61238470531312,0.0,57.61238470531312,52.11238470531312,46.61238470531312
QQQ,5,2026-09-05 01:00:00-04:00,2026-09-05 09:00:00-04:00,WEEKEND,False,719.36,720.0,27.460655989071874,7.644728612133636,-19.815927376938237,8,NORMALIZED,-8.892841848840616,11.850000000000001,-2.042841848840615,-7.542841848840615,-13.042841848840615
QQQ,6,2026-09-06 06:00:00-04:00,2026-09-06 10:00:00-04:00,WEEKEND,False,721.65,720.17,20.828993959591752,6.947628774299332,-13.88136518529242,4,NORMALIZED,20.529615622018362,0.0,15.529615622018362,10.029615622018362,4.529615622018362
QQQ,7,2026-09-12 10:00:00-04:00,2026-09-12 15:00:00-04:00,WEEKEND,True,716.09,715.22,20.710597388785747,1.817952984938895,-18.89264440384685,5,NORMALIZED,12.156697111657762,0.0,7.156697111657762,1.6566971116577616,-3.8433028883422384
