weekend_id,symbol,fri_close,pre_open,open_0930,print_0935,print_0945,print_1000,close_1600,dev_D_pct,snap_open_pct,ret_0935_pct,ret_0945_pct,ret_1000_pct,ret_rth_day_pct,reverses_at_open,reverses_at_0935,reverses_at_1000
2026-08-07_2026-08-10,RNVDAUSDT,223.94,223.145,223.38,222.75,223.001,222.11,217.55,-0.3550058051263676,0.10531268905867718,-0.17701494543906887,-0.06453203074234487,-0.4638239709605846,-2.609902408451958,True,False,False
2026-08-07_2026-08-10,RTSLAUSDT,328.536,326.67,326.65,328.27,328.355,329.55,330.87,-0.5679742859229995,-0.006122386506271972,0.48979092050080075,0.5158110631524174,0.8816236569014587,1.291902648094299,False,True,True
2026-08-07_2026-08-10,RSPYUSDT,773.21,772.48,772.6,772.63,772.67,773.48,773.07,-0.09441160874794922,0.015534382767191973,0.019417978458986285,0.02459610604804537,0.12945318972659486,0.060833549055142024,True,True,True
2026-08-07_2026-08-10,RQQQUSDT,723.02,722.18,722.38,720.785,721.751,722.47,720.805,-0.11617935880059084,0.02769392672187619,-0.19316513888504,-0.05940347281840727,0.04015619374672205,-0.21802929206235575,True,False,True
2026-08-07_2026-08-10,RAAPLUSDT,313.298,306.35,306.73,306.61,305.88,306.99,308.16,-2.2176968892236717,0.12404112942712435,0.08487024645013576,-0.15341929165987506,0.20891137587726008,0.46620806572555884,True,True,True
2026-08-14_2026-08-17,RNVDAUSDT,225.16,225.8,225.99,225.72,225.88,226.185,225.07,0.2842423165748867,0.08414526129317879,-0.03542958370239704,0.03542958370238444,0.17050487156775504,-0.4070976591884667,False,True,False
2026-08-14_2026-08-17,RTSLAUSDT,342.34,340.522,340.545,337.89,340.65,339.362,339.332,-0.5310510019279031,0.006754335990046035,-0.7729309706861833,0.03758934811847279,-0.34065346732368784,-0.3561937482564778,True,False,False
2026-08-14_2026-08-17,RSPYUSDT,776.29,776.31,776.29,775.51,775.6,775.26,772.62,0.0025763567738837046,-0.002576290399451484,-0.10305161597814722,-0.09145830918060088,-0.13525524597132005,-0.4727614680080845,True,True,True
2026-08-14_2026-08-17,RQQQUSDT,731.035,732.94,732.96,732.42,732.4,733.197,729.9,0.26058943826220177,0.002728736322206703,-0.07094714437745184,-0.07367588069965854,0.03506426174038095,-0.4174852652259413,False,True,False
2026-08-14_2026-08-17,RAAPLUSDT,305.93,305.93,306.2,305.76,305.16,305.41,305.665,0.0,0.08825548328048305,-0.05556826725068346,-0.2516915634295368,-0.16997352335500993,-0.17472240365772965,False,False,False
