ts,open,high,low,close,adjclose,volume,dt
1158586200,131.7899932861328,132.38999938964844,131.64999389648438,132.13999938964844,91.9023208618164,64154100,2006-09-18 13:30:00
1158672600,132.1199951171875,132.1300048828125,131.07000732421875,131.80999755859375,91.67276763916016,92089100,2006-09-19 13:30:00
1158759000,132.25,132.77000427246094,132.05999755859375,132.50999450683594,92.1596450805664,75204100,2006-09-20 13:30:00
1158845400,132.61000061035156,132.75,131.4199981689453,131.8699951171875,91.7145004272461,88932500,2006-09-21 13:30:00
1158931800,131.6699981689453,131.67999267578125,131.0,131.47000122070312,91.43629455566406,65966800,2006-09-22 13:30:00
1159191000,131.72999572753906,132.85000610351562,131.0500030517578,132.47999572753906,92.13876342773438,92299100,2006-09-25 13:30:00
1159277400,132.5,133.60000610351562,132.39999389648438,133.5800018310547,92.9038314819336,73962700,2006-09-26 13:30:00
1159363800,133.49000549316406,133.97000122070312,133.27000427246094,133.74000549316406,93.01506805419922,82432200,2006-09-27 13:30:00
1159450200,133.74000549316406,133.99000549316406,133.27999877929688,133.69000244140625,92.98033142089844,58597500,2006-09-28 13:30:00
1159536600,133.8000030517578,133.94000244140625,133.47999572753906,133.5800018310547,92.9038314819336,47966600,2006-09-29 13:30:00
1159795800,133.5399932861328,133.8300018310547,132.9499969482422,133.0800018310547,92.55601501464844,51687400,2006-10-02 13:30:00
1159882200,132.88999938964844,133.8699951171875,132.64999389648438,133.36000061035156,92.75080108642578,73108100,2006-10-03 13:30:00
1159968600,133.22999572753906,135.0,133.0800018310547,134.9199981689453,93.83575439453125,80890500,2006-10-04 13:30:00
1160055000,134.9199981689453,135.41000366210938,134.75,135.17999267578125,94.01658630371094,60505900,2006-10-05 13:30:00
1160141400,134.9499969482422,135.10000610351562,134.39999389648438,135.00999450683594,93.8983383178711,64983600,2006-10-06 13:30:00
1160400600,134.85000610351562,135.3000030517578,134.63999938964844,135.08999633789062,93.95401000976562,41176800,2006-10-09 13:30:00
1160487000,135.10000610351562,135.4499969482422,134.83999633789062,135.27000427246094,94.07916259765625,56403700,2006-10-10 13:30:00
1160573400,134.83999633789062,135.42999267578125,134.3000030517578,135.11000061035156,93.9678955078125,104071800,2006-10-11 13:30:00
1160659800,135.4499969482422,136.38999938964844,135.39999389648438,136.27999877929688,94.78163146972656,59158600,2006-10-12 13:30:00
1160746200,136.16000366210938,136.7100067138672,136.0399932861328,136.6300048828125,95.02507019042969,53944000,2006-10-13 13:30:00
1161005400,136.52000427246094,137.0500030517578,136.4199981689453,136.83999633789062,95.1711196899414,42273000,2006-10-16 13:30:00
1161091800,136.47000122070312,136.6999969482422,135.6699981689453,136.41000366210938,94.87203216552734,90500600,2006-10-17 13:30:00
1161178200,137.0399932861328,137.3699951171875,136.10000610351562,136.58999633789062,94.99723815917969,86848600,2006-10-18 13:30:00
1161264600,136.38999938964844,136.8800048828125,136.22999572753906,136.80999755859375,95.1502685546875,64063200,2006-10-19 13:30:00
1161351000,136.83999633789062,136.9499969482422,136.3300018310547,136.83999633789062,95.1711196899414,48094500,2006-10-20 13:30:00
1161610200,136.55999755859375,137.8000030517578,136.38999938964844,137.47000122070312,95.60926055908203,66219900,2006-10-23 13:30:00
1161696600,137.27999877929688,137.92999267578125,137.22000122070312,137.8800048828125,95.89443969726562,53234900,2006-10-24 13:30:00
1161783000,137.74000549316406,138.41000366210938,137.50999450683594,138.35000610351562,96.22135162353516,78105400,2006-10-25 13:30:00
1161869400,138.66000366210938,139.0,137.97999572753906,138.77999877929688,96.5203628540039,66843700,2006-10-26 13:30:00
1161955800,138.61000061035156,138.75,137.6300048828125,137.91000366210938,95.91529846191406,80238000,2006-10-27 13:30:00
1162218600,137.66000366210938,138.1999969482422,137.39999389648438,137.80999755859375,95.84574127197266,49717800,2006-10-30 14:30:00
1162305000,138.07000732421875,138.25999450683594,137.25,137.7899932861328,95.831787109375,71274100,2006-10-31 14:30:00
1162391400,138.22000122070312,138.30999755859375,136.72000122070312,136.86000061035156,95.18501281738281,83005600,2006-11-01 14:30:00
1162477800,136.50999450683594,137.00999450683594,136.36000061035156,136.77999877929688,95.1293716430664,60693100,2006-11-02 14:30:00
1162564200,137.27000427246094,137.38999938964844,135.6199951171875,136.5399932861328,94.96249389648438,71346400,2006-11-03 14:30:00
1162823400,136.9600067138672,138.27999877929688,136.9499969482422,138.0800018310547,96.03350830078125,63303300,2006-11-06 14:30:00
1162909800,138.1999969482422,138.97999572753906,138.0,138.61000061035156,96.40213775634766,63318900,2006-11-07 14:30:00
1162996200,138.0,139.0500030517578,136.86000061035156,138.91000366210938,96.61077880859375,87517800,2006-11-08 14:30:00
1163082600,139.00999450683594,139.13999938964844,137.89999389648438,138.17999267578125,96.10304260253906,95916300,2006-11-09 14:30:00
1163169000,138.13999938964844,138.33999633789062,137.72000122070312,138.24000549316406,96.144775390625,48991500,2006-11-10 14:30:00
1163428200,138.17999267578125,139.0399932861328,138.07000732421875,138.5800018310547,96.38126373291016,59398200,2006-11-13 14:30:00
1163514600,138.97000122070312,139.74000549316406,138.1199951171875,139.6199951171875,97.1045913696289,96704000,2006-11-14 14:30:00
1163601000,139.57000732421875,140.4499969482422,139.52999877929688,140.02000427246094,97.38276672363281,76509600,2006-11-15 14:30:00
1163687400,140.44000244140625,140.67999267578125,139.49000549316406,140.3800048828125,97.63316345214844,76728800,2006-11-16 14:30:00
