symbol,fri_date,mon_date,p_fri,p_weekend_last,p_mon_open,p_mon_close,ret_weekend_pct,dom_dev_pct,ret_mon_gap_pct,ret_reanchor_pct,rev_fraction,ret_mon_rth_pct,is_reversal,is_mon_reversal_of_fri
RNVDAUSDT,2026-08-07,2026-08-10,223.38,222.11,223.09,219.45,-0.5685379174500769,0.97322947443818,-0.12982361894529143,0.4412228175228444,0.7716535433070896,-1.6316284907436525,True,False
RNVDAUSDT,2026-08-14,2026-08-17,225.02,226.185,226.29,224.97,0.5177317571771363,0.9510265754155126,0.5643942760643417,0.04642217653690111,-0.0901287553647987,-0.5833222855627704,False,False
RNVDAUSDT,2026-08-21,2026-08-24,215.175,209.65,215.39,208.62,-2.567677471825261,-2.8651097943534425,0.09991867084929706,2.737896494156919,1.0389140271493167,-3.1431357073215946,True,True
RNVDAUSDT,2026-08-28,2026-08-31,217.81,218.835,218.189,220.68,0.47059363665580356,1.0100546347734212,0.17400486662687234,-0.2951995795919368,0.6302439024390355,1.141670753337709,True,False
RNVDAUSDT,2026-09-04,2026-09-07,230.081,231.95,232.24,231.79,0.8123226168175556,1.2121817968454658,0.9383651844350557,0.12502694546239296,-0.155163188871065,-0.19376507061661083,False,False
RNVDAUSDT,2026-09-11,2026-09-14,218.3597,210.79,212.08,212.398,-3.4666195273212095,-4.318425057370933,-2.875851175835097,0.6119834906779357,0.1704162648453728,0.14994341757826463,True,False
RTSLAUSDT,2026-08-07,2026-08-10,328.41,329.55,328.34,330.14,0.3471270667762816,3.5291251788922304,-0.021314819889787163,-0.36716734941588114,1.0614035087719744,0.5482122190412412,True,True
RTSLAUSDT,2026-08-14,2026-08-17,341.64,339.362,340.368,339.52,-0.6667837489755191,-1.2118018967333997,-0.37232174218475333,0.2964386112764457,0.4416154521510044,-0.24914210501575154,True,False
RTSLAUSDT,2026-08-21,2026-08-24,363.195,353.95,362.07,347.88,-2.5454645576067967,-3.16496647806275,-0.3097509602279767,2.294109337477046,0.8783126014061655,-3.919131659623829,True,False
RTSLAUSDT,2026-08-28,2026-08-31,347.9,360.149,345.5,368.0,3.5208393216441576,3.808565679793044,-0.6898534061511864,-4.067483180572486,1.1959343619887315,6.512301013024602,True,True
RTSLAUSDT,2026-09-04,2026-09-07,353.42,354.9,354.01,355.31,0.4187652085337449,0.6903966951502455,0.16694018448304423,-0.2507748661594777,0.6013513513513579,0.367221264936022,True,False
RTSLAUSDT,2026-09-11,2026-09-14,364.75,360.21,359.1272,359.5376,-1.2446881425634053,-1.9797943797121274,-1.5415490061686041,-0.30060242636238954,-0.23850220264316266,0.11427705837931001,False,False
RSPYUSDT,2026-07-31,2026-08-03,744.72,753.62,751.13,757.97,1.1950800300784155,1.1964228166290642,0.8607261789665872,-0.33040524402218746,0.27977528089887815,0.9106279871660075,True,False
RSPYUSDT,2026-08-07,2026-08-10,772.941,773.48,772.8,773.036,0.06973365366826022,0.2521537866408892,-0.018242013297273194,-0.08791436106946057,1.261595547309981,0.030538302277431418,,True
RSPYUSDT,2026-08-14,2026-08-17,775.95,775.26,776.2,772.34,-0.08892325536439907,0.4510599909788002,0.03221857078420001,0.1212496452803001,1.3623188405796816,-0.4972945117237843,,True
RSPYUSDT,2026-08-21,2026-08-24,766.364,763.38,764.46,764.05,-0.38937110824621685,-0.5590032934741183,-0.2484459082107192,0.14147606696534373,0.3619302949061754,-0.05363262956859506,True,False
RSPYUSDT,2026-08-28,2026-08-31,769.4,766.21,766.561,767.38,-0.41460878606705764,-0.5081881985963047,-0.36898882245905146,0.045809895459469216,0.1100313479623842,0.1068408124076179,True,False
RSPYUSDT,2026-09-04,2026-09-07,769.8467,771.6,771.53,771.63,0.227746640987091,0.5394970193416357,0.21865392161841019,-0.009072058061178074,0.03992471339762238,0.012961258797457357,True,False
RSPYUSDT,2026-09-11,2026-09-14,764.5,760.0,759.0459,761.485,-0.5886200130804448,-0.8803139306736452,-0.7134205362982393,-0.12553947368421572,-0.212022222222231,0.3213376160782969,False,False
RQQQUSDT,2026-08-07,2026-08-10,722.98,722.47,721.91,721.32,-0.07054137043901504,0.5141221057290636,-0.14799856150931562,-0.07751186900494957,-1.09803921568641,-0.08172763917938776,,False
RQQQUSDT,2026-08-14,2026-08-17,730.89,733.197,732.507,729.35,0.3156425727537682,0.6663109359821594,0.22123712186511812,-0.09410840469888102,0.29908972691809693,-0.4309856424580142,True,False
RQQQUSDT,2026-08-21,2026-08-24,713.35,704.45,709.16,706.95,-1.2476344010653924,-1.4887502628443268,-0.5873694539847276,0.6686067144580768,0.5292134831460601,-0.3116363021038867,True,False
RQQQUSDT,2026-08-28,2026-08-31,716.33,715.261,713.963,717.1,-0.14923289545322316,-0.7105663590803166,-0.3304342970418767,-0.18147221783377002,-1.214218896164558,0.43937851121137333,,False
RQQQUSDT,2026-09-04,2026-09-07,718.0,720.5,720.24,720.78,0.34818941504178275,0.4470752089136541,0.31197771587743856,-0.036086051353225665,0.10399999999999636,0.07497500833055143,True,False
RQQQUSDT,2026-09-11,2026-09-14,714.9169,705.785,702.76,710.3,-1.277337268149639,-1.9249649854409765,-1.700463368539765,-0.42860077785727635,-0.33125636504998396,1.0729125163640452,False,False
RAAPLUSDT,2026-08-07,2026-08-10,313.1,306.99,309.19,307.38,-1.951453209837117,-2.7052060044714237,-1.2488022995848052,0.7166357210332547,0.3600654664484425,-0.5854005627607627,True,False
RAAPLUSDT,2026-08-14,2026-08-17,305.76,305.41,306.473,305.39,-0.11446886446885333,0.601779173207755,0.23318942961800831,0.34805671065125177,3.0371428571431194,-0.35337533812114824,,True
RAAPLUSDT,2026-08-21,2026-08-24,309.6,311.825,311.17,310.47,0.7186692506459837,0.8720930232558103,0.5071059431524525,-0.21005371602660877,0.29438202247190237,-0.22495741877429976,True,False
RAAPLUSDT,2026-08-28,2026-08-31,319.935,317.23,319.028,316.87,-0.8454842389860391,1.4768624876928198,-0.28349508493912273,0.5667811997604267,0.6646950092421487,-0.6764296550773021,True,False
RAAPLUSDT,2026-09-04,2026-09-07,319.98,320.85,320.85,320.22,0.2718919932495795,0.41252578286142666,0.2718919932495795,0.0,0.0,-0.19635343618513182,False,False
RAAPLUSDT,2026-09-11,2026-09-14,332.519,333.935,333.69,332.9,0.4258403279211103,-1.2357188611778516,0.3521603276805212,-0.07336757153338361,0.1730225988700601,-0.23674668105128127,True,False
